产品编号,产品名称,类别,Q1销量,Q2销量,Q3销量,Q4销量,单价,成本,库存
PROD_001,产品_1,电子,100,120,150,200,50,30,500
PROD_002,产品_2,家居,105,124,156,208,60,36,495
PROD_003,产品_3,服饰,110,128,162,216,70,42,490
PROD_004,产品_4,食品,115,132,168,224,80,48,485
PROD_005,产品_5,美妆,120,136,174,232,90,54,480
PROD_006,产品_6,电子,125,140,180,240,100,60,475
PROD_007,产品_7,家居,130,144,186,248,110,66,470
PROD_008,产品_8,服饰,135,148,192,256,120,72,465
PROD_009,产品_9,食品,140,152,198,264,130,78,460
PROD_010,产品_10,美妆,145,156,204,272,140,84,455
PROD_011,产品_11,电子,150,160,210,280,150,90,450
PROD_012,产品_12,家居,155,164,216,288,160,96,445
PROD_013,产品_13,服饰,160,168,222,296,170,102,440
PROD_014,产品_14,食品,165,172,228,304,180,108,435
PROD_015,产品_15,美妆,170,176,234,312,190,114,430
PROD_016,产品_16,电子,175,180,240,320,200,120,425
PROD_017,产品_17,家居,180,184,246,328,210,126,420
PROD_018,产品_18,服饰,185,188,252,336,220,132,415
PROD_019,产品_19,食品,190,192,258,344,230,138,410
PROD_020,产品_20,美妆,195,196,264,352,240,144,405
PROD_021,产品_21,电子,200,200,270,360,250,150,400
PROD_022,产品_22,家居,205,204,276,368,260,156,395
PROD_023,产品_23,服饰,210,208,282,376,270,162,390
PROD_024,产品_24,食品,215,212,288,384,280,168,385
PROD_025,产品_25,美妆,220,216,294,392,290,174,380
PROD_026,产品_26,电子,225,220,300,400,300,180,375
PROD_027,产品_27,家居,230,224,306,408,310,186,370
PROD_028,产品_28,服饰,235,228,312,416,320,192,365
PROD_029,产品_29,食品,240,232,318,424,330,198,360
PROD_030,产品_30,美妆,245,236,324,432,340,204,355
PROD_031,产品_31,电子,250,240,330,440,350,210,350
PROD_032,产品_32,家居,255,244,336,448,360,216,345
PROD_033,产品_33,服饰,260,248,342,456,370,222,340
PROD_034,产品_34,食品,265,252,348,464,380,228,335
PROD_035,产品_35,美妆,270,256,354,472,390,234,330
PROD_036,产品_36,电子,275,260,360,480,400,240,325
PROD_037,产品_37,家居,280,264,366,488,410,246,320
PROD_038,产品_38,服饰,285,268,372,496,420,252,315
PROD_039,产品_39,食品,290,272,378,504,430,258,310
PROD_040,产品_40,美妆,295,276,384,512,440,264,305
PROD_041,产品_41,电子,300,280,390,520,450,270,300
PROD_042,产品_42,家居,305,284,396,528,460,276,295
PROD_043,产品_43,服饰,310,288,402,536,470,282,290
PROD_044,产品_44,食品,315,292,408,544,480,288,285
PROD_045,产品_45,美妆,320,296,414,552,490,294,280
PROD_046,产品_46,电子,325,300,420,560,500,300,275
PROD_047,产品_47,家居,330,304,426,568,510,306,270
PROD_048,产品_48,服饰,335,308,432,576,520,312,265
PROD_049,产品_49,食品,340,312,438,584,530,318,260
PROD_050,产品_50,美妆,345,316,444,592,540,324,255
