日期,销售额,订单量,客单价,退货率
2024-01-01,5000,80,62,0.03
2024-01-02,5810,95,64,0.031
2024-01-03,6620,110,66,0.032
2024-01-04,7430,126,68,0.033
2024-01-05,8240,141,70,0.034
2024-01-06,9050,156,72,0.034999999999999996
2024-01-07,9860,172,74,0.036
2024-01-08,5070,82,76,0.037
2024-01-09,5880,97,78,0.038
2024-01-10,6690,113,80,0.039
2024-01-11,7500,128,62,0.04
2024-01-12,8310,143,64,0.040999999999999995
2024-01-13,9120,159,66,0.041999999999999996
2024-01-14,9930,174,68,0.043
2024-01-15,5140,84,70,0.044
2024-01-16,5950,100,72,0.045
2024-01-17,6760,115,74,0.046
2024-01-18,7570,130,76,0.047
2024-01-19,8380,146,78,0.048
2024-01-20,9190,161,80,0.049
2024-01-21,10000,176,62,0.05
2024-01-22,5210,87,64,0.051000000000000004
2024-01-23,6020,102,66,0.052
2024-01-24,6830,117,68,0.053
2024-01-25,7640,133,70,0.054
2024-01-26,8450,148,72,0.055
2024-01-27,9260,163,74,0.055999999999999994
2024-01-28,10070,179,76,0.056999999999999995
2024-01-29,5280,89,78,0.057999999999999996
2024-01-30,6090,104,80,0.059
2024-01-31,6900,120,62,0.03
2024-02-01,7710,135,64,0.031
2024-02-02,8520,150,66,0.032
2024-02-03,9330,166,68,0.033
2024-02-04,10140,181,70,0.034
2024-02-05,5350,91,72,0.034999999999999996
2024-02-06,6160,107,74,0.036
2024-02-07,6970,122,76,0.037
2024-02-08,7780,137,78,0.038
2024-02-09,8590,153,80,0.039
2024-02-10,9400,168,62,0.04
2024-02-11,10210,183,64,0.040999999999999995
2024-02-12,5420,94,66,0.041999999999999996
2024-02-13,6230,109,68,0.043
2024-02-14,7040,124,70,0.044
2024-02-15,7850,140,72,0.045
2024-02-16,8660,155,74,0.046
2024-02-17,9470,170,76,0.047
2024-02-18,10280,186,78,0.048
2024-02-19,5490,96,80,0.049
2024-02-20,6300,111,62,0.05
2024-02-21,7110,127,64,0.051000000000000004
2024-02-22,7920,142,66,0.052
2024-02-23,8730,157,68,0.053
2024-02-24,9540,173,70,0.054
2024-02-25,10350,188,72,0.055
2024-02-26,5560,98,74,0.055999999999999994
2024-02-27,6370,114,76,0.056999999999999995
2024-02-28,7180,129,78,0.057999999999999996
2024-02-29,7990,144,80,0.059
2024-03-01,8800,160,62,0.03
2024-03-02,9610,175,64,0.031
2024-03-03,10420,190,66,0.032
2024-03-04,5630,101,68,0.033
2024-03-05,6440,116,70,0.034
2024-03-06,7250,131,72,0.034999999999999996
2024-03-07,8060,147,74,0.036
2024-03-08,8870,162,76,0.037
2024-03-09,9680,177,78,0.038
2024-03-10,10490,193,80,0.039
2024-03-11,5700,103,62,0.04
2024-03-12,6510,118,64,0.040999999999999995
2024-03-13,7320,134,66,0.041999999999999996
2024-03-14,8130,149,68,0.043
2024-03-15,8940,164,70,0.044
2024-03-16,9750,180,72,0.045
2024-03-17,10560,195,74,0.046
2024-03-18,5770,105,76,0.047
2024-03-19,6580,121,78,0.048
2024-03-20,7390,136,80,0.049
2024-03-21,8200,151,62,0.05
2024-03-22,9010,167,64,0.051000000000000004
2024-03-23,9820,182,66,0.052
2024-03-24,10630,197,68,0.053
2024-03-25,5840,108,70,0.054
2024-03-26,6650,123,72,0.055
2024-03-27,7460,138,74,0.055999999999999994
2024-03-28,8270,154,76,0.056999999999999995
2024-03-29,9080,169,78,0.057999999999999996
2024-03-30,9890,184,80,0.059
