日期,来源,访问量,跳出率,平均停留
2024-06-01,自然搜索,1100,0.3,60
2024-06-01,付费广告,1300,0.3,60
2024-06-01,社交媒体,1100,0.3,60
2024-06-01,直接访问,900,0.3,60
2024-06-01,邮件营销,1100,0.3,60
2024-06-02,自然搜索,1110,0.31,65
2024-06-02,付费广告,1310,0.31,65
2024-06-02,社交媒体,1110,0.31,65
2024-06-02,直接访问,910,0.31,65
2024-06-02,邮件营销,1110,0.31,65
2024-06-03,自然搜索,1120,0.32,70
2024-06-03,付费广告,1320,0.32,70
2024-06-03,社交媒体,1120,0.32,70
2024-06-03,直接访问,920,0.32,70
2024-06-03,邮件营销,1120,0.32,70
2024-06-04,自然搜索,1130,0.32999999999999996,75
2024-06-04,付费广告,1330,0.32999999999999996,75
2024-06-04,社交媒体,1130,0.32999999999999996,75
2024-06-04,直接访问,930,0.32999999999999996,75
2024-06-04,邮件营销,1130,0.32999999999999996,75
2024-06-05,自然搜索,1140,0.33999999999999997,80
2024-06-05,付费广告,1340,0.33999999999999997,80
2024-06-05,社交媒体,1140,0.33999999999999997,80
2024-06-05,直接访问,940,0.33999999999999997,80
2024-06-05,邮件营销,1140,0.33999999999999997,80
2024-06-06,自然搜索,1150,0.35,85
2024-06-06,付费广告,1350,0.35,85
2024-06-06,社交媒体,1150,0.35,85
2024-06-06,直接访问,950,0.35,85
2024-06-06,邮件营销,1150,0.35,85
2024-06-07,自然搜索,1160,0.36,90
2024-06-07,付费广告,1360,0.36,90
2024-06-07,社交媒体,1160,0.36,90
2024-06-07,直接访问,960,0.36,90
2024-06-07,邮件营销,1160,0.36,90
2024-06-08,自然搜索,1170,0.37,95
2024-06-08,付费广告,1370,0.37,95
2024-06-08,社交媒体,1170,0.37,95
2024-06-08,直接访问,970,0.37,95
2024-06-08,邮件营销,1170,0.37,95
2024-06-09,自然搜索,1180,0.38,100
2024-06-09,付费广告,1380,0.38,100
2024-06-09,社交媒体,1180,0.38,100
2024-06-09,直接访问,980,0.38,100
2024-06-09,邮件营销,1180,0.38,100
2024-06-10,自然搜索,1190,0.39,105
2024-06-10,付费广告,1390,0.39,105
2024-06-10,社交媒体,1190,0.39,105
2024-06-10,直接访问,990,0.39,105
2024-06-10,邮件营销,1190,0.39,105
2024-06-11,自然搜索,1200,0.3,110
2024-06-11,付费广告,1400,0.3,110
2024-06-11,社交媒体,1200,0.3,110
2024-06-11,直接访问,1000,0.3,110
2024-06-11,邮件营销,1200,0.3,110
2024-06-12,自然搜索,1210,0.31,115
2024-06-12,付费广告,1410,0.31,115
2024-06-12,社交媒体,1210,0.31,115
2024-06-12,直接访问,1010,0.31,115
2024-06-12,邮件营销,1210,0.31,115
2024-06-13,自然搜索,1220,0.32,120
2024-06-13,付费广告,1420,0.32,120
2024-06-13,社交媒体,1220,0.32,120
2024-06-13,直接访问,1020,0.32,120
2024-06-13,邮件营销,1220,0.32,120
2024-06-14,自然搜索,1230,0.32999999999999996,125
2024-06-14,付费广告,1430,0.32999999999999996,125
2024-06-14,社交媒体,1230,0.32999999999999996,125
2024-06-14,直接访问,1030,0.32999999999999996,125
2024-06-14,邮件营销,1230,0.32999999999999996,125
2024-06-15,自然搜索,1240,0.33999999999999997,130
2024-06-15,付费广告,1440,0.33999999999999997,130
2024-06-15,社交媒体,1240,0.33999999999999997,130
2024-06-15,直接访问,1040,0.33999999999999997,130
2024-06-15,邮件营销,1240,0.33999999999999997,130
